service_at_location_id,service_name,organization_name,city
211onedegr-12075_211onedegr-4860,Get Free Food,St. Paul'S United Methodist Church,Coronado
211onedegr-7322_211onedegr-15808,Get Free Food,Lutheran Social Services - San Diego,San Diego
211orangec-95902738,United Resource Center,Urc - United Resource Center,La Mesa
211onedegr-10180_211onedegr-19593,Get Resettlement Services For Refugees In The U.S.,International Rescue Committee,San Diego
211charles-0ee1d5e7-e3e6-41e9-be42-362bb9c07362,Medical Care Expense Assistance,Fresh Start Surgical Gifts,Carlsbad
211charles-01eb9608-b6b0-4de1-a0a4-f239ea77460c,Plastic / Reconstructive Surgery,Fresh Start Surgical Gifts,Carlsbad
211onedegr-6951_211onedegr-4860,Attend A Spiritual Retreat For Women ,St. Paul'S United Methodist Church,Coronado
211onedegr-6952_211onedegr-4860,Join A Music Ministry ,St. Paul'S United Methodist Church,Coronado
211onedegr-12074_211onedegr-4860,Get A Free Hot Dinner,St. Paul'S United Methodist Church,Coronado
211onedegr-6947_211onedegr-4860,Join A Children Or Youth Ministry,St. Paul'S United Methodist Church,Coronado
211sonoma-97502491,Calaim Community Supports - Mom'S Meals,Partnership Health Plan Of California,La Jolla
211humbold-62614945,Syringe Exchange Program,Humboldt Area Center For Harm Reduction,Eureka
211sonoma-96120924,Calaim Community Supports - Serene Health Ipa,Partnership Health Plan Of California,San Diego
211onedegr-6948_211onedegr-4860,Join A Book Club For Women,St. Paul'S United Methodist Church,Coronado
211onedegr-6954_211onedegr-4860,Get Free Clothing ,St. Paul'S United Methodist Church,Coronado
211sofcali-79141046,Disaster Response Services,International Relief Teams,San Diego
211peoria-4936-1187,Autism Research Institute (WEB BASED DISCUSSION GROUPS/LIVE CHAT),Autism Research Institute,San Diego
211orangec-94284947,Resource Center,Emilio Nares Foundation,San Diego
211rochest-7339144,Fresh Start Surgical Gifts,Fresh Start Surgical Gifts,Carlsbad
211lantana-2806-3614,Fresh Start Surgical Gifts (PLASTIC/RECONSTRUCTIVE SURGERY),Fresh Start Surgical Gifts,Carlsbad
211utica-31069195,Fresh Start Surgical Gifts,Fresh Start Surgical Gifts,Carlsbad
inlandempi-7428903,Fresh Start Surgical Gifts,Fresh Start Surgical Gifts,Carlsbad
211alameda-82586294,Fruitvale Farmers Market,The Unity Council,Oakland
211tallaha-188-86,Autism Research Institute,Autism Research Institute,San Diego
211miami-25857-9076,Va Home Loan Centers (VETERAN HOME LOANS),Va Home Loan Centers,San Diego
211orlando-351775,Veterans Services,Semper Fi Fund,Oceanside
211onedegr-20895_211onedegr-15808,Get Social Companionship For Seniors,Lutheran Social Services - San Diego,San Diego
inlandempi-77067729,Michelle'S Place Cancer Resource Center,Michelles Place Cancer Resource Center,Fallbrook
211onedegr-21458_211onedegr-19550,Get Assistance For Those Deported To Mexico,Al Otro Lado,San Ysidro
211cedarkn-63469257,Helping You Help Veterans Support Center,Psycharmor Institute,San Diego
