Performance Metrics
Metric,Value
Coverage,277/277 (100.0%)
Keywords searched,718
API requests made,718
Fetch duration,1841.14 seconds (30.69 minutes)

Top Contributing Keywords
Keyword,New Services
food,10
canned,10
housing,10
counseling,10
rent,8
supportive,8
health,7
hospital,7
homeless,6
transitional,6
recovery,6
education,6
fresh,5
medical,5
community health,5

Services by City
City,Count
San Diego,132
Oceanside,22
La Jolla,15
Escondido,15
El Cajon,15
Carlsbad,9
Vista,8
Coronado,7
Borrego Springs,5
San Ysidro,4
Chula Vista,3
Del Mar,3
Camp Pendleton,2
Encinitas,2
Calabasas Hills,2
Bonita,2
La Mesa,1
Eureka,1
Oakland,1
Fallbrook,1
Providence,1
Spring Valley,1
San Marcos,1
Cardiff By The Sea,1
Solana Beach,1
National City,1
