service_at_location_id,organization_id,service_id,location_id,organization_name,service_name,location_name,organization_description,service_description,address_street,city,county,state,postal_code,latitude,longitude,taxonomy_codes,taxonomy_terms,data_owner,status,application_process
211onedegr-12075_211onedegr-4860,211onedegr-2063,211onedegr-12075,211onedegr-4860,St. Paul'S United Methodist Church,Get Free Food,St. Paul'S United Methodist Church,St. Paul's United Methodist Church offers dinner as well as a food pantry to the community.,"Due to Covid, there will currently be no in-person grocery distribution or meal at St. Paul's. Grocery store cards will be mailed to regular recipients.",700 D Ave.,Coronado,,CA,92118,32.69061,-117.1789,BD-1800.2000,Food Pantries,211onedegree,,
211onedegr-7322_211onedegr-15808,211onedegr-2156,211onedegr-7322,211onedegr-15808,Lutheran Social Services - San Diego,Get Free Food,Lutheran Social Services - San Diego,Lutheran Social Services - San Diego offers emergency services and social services to individuals and families.,LSS Community Care Center for San Diego offers free groceries through Project Hand. Clients receive food once a month.,4425 Bannock Ave.,San Diego,,CA,94227,32.83263,-117.1967,BD-1800.2000,Food Pantries,211onedegree,,Call Johnny Viloria for more information on how to receive food.
211orangec-95902738,211orangec-95902725,211orangec-95902730,211orangec-95902726,Urc - United Resource Center,United Resource Center,Main Office,"Non-profit organization that serves IHSS providers and Childcare providers and their families with free assistance to attend community colleges, apply for immigration services, apprenticeship opportunities, and food assistance all with case management wrap around services","Offers free assistance to attend community colleges, apply for immigration services, apprenticeship opportunities, and food assistance all with case management wrap around services to IHSS Providers and Childcare Providers and their families.NOTE: Have teams working in Orange County, who can help individuals over zoom or meet in the community.",7777 Alvarado Road Suite 116,La Mesa,San Diego,CA,91945,32.77165,-117.0319,"FT-3600.1500, PH-1000","Comprehensive Immigration/Naturalization Services, Case/Care Management",211orangecounty,,Appointments required; Call for detailed information
211onedegr-10180_211onedegr-19593,211onedegr-397,211onedegr-10180,211onedegr-19593,International Rescue Committee,Get Resettlement Services For Refugees In The U.S.,San Diego Office,"International Rescue Committee (IRC) offers assistance to newly arrived refugees with the following services: housing, healthcare, food, English language classes, job search and placement, education, social services, legal support and more.","The International Rescue Committee provides services to refugees, asylees, and asylum seekers, survivors of trafficking and other immigrants. Services include: housing, financial assistance, health care, food, English language classes, employment, education for adults and children, social services, legal services, and more.","5348 University Ave., Suite 205",San Diego,,CA,92105,32.74942,-117.0811,BH-3900.3050,Home Rental Listings,211onedegree,,
211charles-0ee1d5e7-e3e6-41e9-be42-362bb9c07362,211charles-3a1d00be-9002-4e9d-a8e6-50404d9ba6eb,211charles-06a76fdf-cbe2-4bc3-bffc-9cde20a12f07,211charles-83ec3ab8-2199-48e8-8ed4-f91c50420472,Fresh Start Surgical Gifts,Medical Care Expense Assistance,Fresh Start Surgical Gifts,"Provides for travel expenses (food, travel, lodging) for families to travel for services to 1 of 3 service locations: San Diego, CA; Chicago, IL; or San Antonio, TX.","Provides free reconstructive surgery to disadvantaged infants, children, and teens who have a physical deformity caused by accident, abuse, disease, or birth defect. Work done primarily with a plastic surgeon.&lt;br /&gt;Fresh Start patients and their families are provided food, transportation, and lodging as they are brought to receive care at one of three locations in San Diego, Chicago, or San Antonio. Services provided for children worldwide.&lt;br /&gt;","2011 Palomar Airport Road, Suite 206",Carlsbad,,CA,92011,33.1198,-117.2805,LH-5100.5000,Medical Care Expense Assistance,211charleston,,1) Apply online at www.freshstart.org
211charles-01eb9608-b6b0-4de1-a0a4-f239ea77460c,211charles-3a1d00be-9002-4e9d-a8e6-50404d9ba6eb,211charles-7ddb3d51-776b-4007-8b10-8bbd1a3e31dc,211charles-83ec3ab8-2199-48e8-8ed4-f91c50420472,Fresh Start Surgical Gifts,Plastic / Reconstructive Surgery,Fresh Start Surgical Gifts,"Provides for travel expenses (food, travel, lodging) for families to travel for services to 1 of 3 service locations: San Diego, CA; Chicago, IL; or San Antonio, TX.","Provides free reconstructive surgery to disadvantaged infants, children, and teens who have a physical deformity caused by accident, abuse, disease, or birth defect. Work done primarily with a plastic surgeon.&lt;br /&gt;Fresh Start patients and their families are provided food, transportation, and lodging as they are brought to receive care at one of three locations in San Diego, Chicago, or San Antonio. Services provided for children worldwide.&lt;br /&gt;","2011 Palomar Airport Road, Suite 206",Carlsbad,,CA,92011,33.1198,-117.2805,LV-8300.6550,Plastic/Reconstructive Surgery,211charleston,,1) Apply online at www.freshstart.org
211onedegr-6951_211onedegr-4860,211onedegr-2063,211onedegr-6951,211onedegr-4860,St. Paul'S United Methodist Church,Attend A Spiritual Retreat For Women ,St. Paul'S United Methodist Church,St. Paul's United Methodist Church offers dinner as well as a food pantry to the community.,"St. Paul's United Methodist Church organizes a yearly weekend retreat for women to focus on spiritual growth, reflection, fellowship, laughter, games, and friendship. Affiliation to the church is not needed.",700 D Ave.,Coronado,,CA,92118,32.69061,-117.1789,PN-8100.5000,Mental Health Related Support Groups,211onedegree,,Call for more information about the next retreat.
211onedegr-6952_211onedegr-4860,211onedegr-2063,211onedegr-6952,211onedegr-4860,St. Paul'S United Methodist Church,Join A Music Ministry ,St. Paul'S United Methodist Church,St. Paul's United Methodist Church offers dinner as well as a food pantry to the community.,"St. Paul's United Methodist Church organizes a music ministry for children, youth, and adults. Many styles of music are presented, including classical, traditional, praise hymns, and chants. No previous singing experience is required.",700 D Ave.,Coronado,,CA,92118,32.69061,-117.1789,TA-6800,Performing Arts Facilities,211onedegree,,Call for more information.
211onedegr-12074_211onedegr-4860,211onedegr-2063,211onedegr-12074,211onedegr-4860,St. Paul'S United Methodist Church,Get A Free Hot Dinner,St. Paul'S United Methodist Church,St. Paul's United Methodist Church offers dinner as well as a food pantry to the community.,"St. Paul's United Methodist Church offers a warm, home cooked meal served every Tuesday.",700 D Ave.,Coronado,,CA,92118,32.69061,-117.1789,BD-5000.1500,Congregate Meals/Nutrition Sites,211onedegree,,
211onedegr-6947_211onedegr-4860,211onedegr-2063,211onedegr-6947,211onedegr-4860,St. Paul'S United Methodist Church,Join A Children Or Youth Ministry,St. Paul'S United Methodist Church,St. Paul's United Methodist Church offers dinner as well as a food pantry to the community.,St. Paul's United Methodist Church organizes a weekly ministry just for children. During this time they will study the Bible and do arts and crafts.,700 D Ave.,Coronado,,CA,92118,32.69061,-117.1789,PL-6400.1500-180,Day Camps,211onedegree,,Call for information on next meeting.
211sonoma-97502491,211sonoma-96120648,211sonoma-96120795,211sonoma-96120672,Partnership Health Plan Of California,Calaim Community Supports - Mom'S Meals,Mom'S Meals,,"<p>Provides the following CalAIM Community Support Services: <br /><br />Provides deliveries of nutritious, prepared meals and healthy groceries to support the member's health needs. Members also receive vouchers for healthy food and/or nutrition education.</p>","888 Prospect Street, Suite 200",La Jolla,San Diego,CA,92037,32.8467,-117.2758,"BD-5000.3500, BD-1800.2250, LH-2700.6000","Home Delivered Meals, Food Vouchers, Nutrition Education",211sonoma,,Call for intake
